ASIN,Category,Title,Rating,Avg_Reviews,Rating_Fill,Avg_Price
B079P7DF2Q,Fashion,Jessica Simpson Women's Comfy Faux Fur House Slipper Scuff Memory Foam Slip on Anti-skid Sole,4.6,10789,19.69,19.69
B08636NKF8,Computers/Accessories,"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Gold (Latest Model)",4.8,6193,946.49,946.49
B07MGYCGXF,Fashion,Gildan Men's Heavy Blend Fleece Hooded Sweatshirt G18500,4.6,24550,8.78,8.78
B07H8WS1FT,Computers/Accessories,"Fire 7 Kids Edition Tablet, 7 Display, 16 GB, Blue Kid-Proof Case",4.6,82405,99.99,99.99
B076JL8YH3,Computers/Accessories,PowerSource 65W 45W UL Listed Charger for Dell-Inspiron 15-3000 15-5000 15-7000 11-3000 13…,4.4,2770,26.97,26.97
B07PF9PWM3,Computers/Accessories,Spare 776622-001 Battery for HP LA04 728460-001 752237-001 15-1272WM - High…,4.3,3353,17.99,17.99
B07XJ8C8F5,Amazon Devices,All-new Echo Dot (4th Gen) | Smart speaker with Alexa | Charcoal,4.6,307,49.99,49.99
B07ZB2QLC2,Amazon Devices,Ring Alarm Contact Sensor (2nd Gen),4.8,3480,19.99,19.99
B01N5GHL1H,Fashion,Southpole Men's Active Basic Jogger Fleece Pants,4.3,16895,13.99,13.99
B07PP49ZDW,Amazon Devices,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Ad-Supported + Kindle Unlimited…,4.5,68529,129.99,129.99
B00O0M46KO,Computers/Accessories,"Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black",4.5,2973,140.21,140.21
B07ZSDR49S,Computers/Accessories,"TP-Link Wifi 6 AX1500 Smart WiFi Router (Archer AX10) – 802.11ax Router, 4 Gigabit LAN Ports,…",4.3,2237,79.99,79.99
B08529TZMC,Computers/Accessories,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a…",4.6,1141,270.04,270.04
B076JKHDQT,Amazon Devices,Ring Rechargeable Battery Pack,4.8,28305,29.99,29.99
B07RF1XD36,Computers/Accessories,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics,…",4.5,14976,364.99,364.99
B083J4159T,Computers/Accessories,"Acekar Pokemon Stickers for Hydro Flask, | 50 PCS | Vinyl Waterproof Stickers for…",4.8,952,6.99,6.99
B08974KDK8,Movies & TV,Star Trek: Picard - Season One,4.6,164,29.68,29.68
B005OCFGTO,Movies & TV,Harry Potter: The Complete 8-Film Collection,4.8,30262,39.99,39.99
B0009G7HTM,Fashion,Hanes Men’s Ultimate Cotton Heavyweight Pullover Hoodie Sweatshirt,4.6,8975,12.95,12.95
B07WML2XTD,Amazon Devices,All-new Ring Chime Pro,4.5,5422,49.99,49.99
B07V3JYVQH,Computers/Accessories,"IdeaPad Charger 65W 45W Round Tip Power Supply AC Adapter for Lenovo IdeaPad 330-14,…",4.7,1271,19.8,19.8
B07YNLBS7R,Amazon Devices,Introducing Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls) | HD streaming…,4.7,1264,23.13,23.13
B07WFT98X1,Fashion,Jescakoo Tunic Tops for Leggings for Women Long Sleeve V Neck T Shirts Casual Loose Fit,4.1,2696,14.15,14.15
B017JOME6M,Movies & TV,Hallmark Holiday Collection (A Very Merry Mix…,4.8,1450,6.99,6.99
B07MQ836T5,Fashion,onlypuff Pocket Shirts for Women Casual Loose Fit Tunic Top Baggy Comfy Blouse,4.4,12665,13.77,13.77
B086MBQKH2,Computers/Accessories,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6 HD Touch, 4GB…",4.7,1890,275.99,275.99
B07H8WS1FT,Amazon Devices,"Fire 7 Kids Edition Tablet, 7 Display, 16 GB, Blue Kid-Proof Case",4.6,82405,99.99,99.99
B07KD7K4B1,Computers/Accessories,"Fire HD 10 Kids Edition Tablet – 10.1” 1080p full HD display, 32 GB, Blue Kid-Proof Case",4.7,12434,199.99,199.99
B01M20UQCV,Fashion,Hanes Sport Women's Cool DRI Performance Long Sleeve Tee,4.3,10876,8.99,8.99
B06WVCB862,Computers/Accessories,"TP-Link Deco Mesh WiFi System(Deco M5) –Up to 5,500 sq. ft. Whole Home Coverage and 100+…",4.6,8409,159.7,159.7
B07RLR5PVJ,Computers/Accessories,New Genuine Inspiron 11 13 14 15 Laptop Charger 45W(watt) Slim AC Power Adapter(LA45NM140…,4.5,1996,22.39,22.39
B07QNRM45T,Computers/Accessories,"Hiearcool USB C Hub,USB-C Laptop Docking Station,11 in 1 Triple Display Type C Adapter…",4.4,3348,68.56,68.56
B07KGVB6D6,Amazon Devices,"Fire TV Cube, hands-free with Alexa built in, 4K Ultra HD, streaming media player, released 2019",4.5,20257,97.13,97.13
B076831CCJ,Fashion,"Gildan Men's Ultra Cotton Adult Long Sleeve T-Shirt, 2-Pack",4.5,28823,11.08,11.08
B07WDDT3G5,Amazon Devices,"All-new Fire HD 8 Kids Edition tablet, 8 HD display, 32 GB, Blue Kid-Proof Case",4.7,17095,139.99,139.99
B07XXYHPVM,Fashion,levaca Women's Fall Long Sleeve Side Split Loose Casual Pullover Tunic Tops,4.4,7713,24.99,24.99
B01N5RCZQH,Computers/Accessories,"TP-Link AC750 Wireless Portable Nano Travel Router(TL-WR902AC) - Support Multiple Modes,…",4.1,2059,39.99,39.99
B000YDDF6O,Toys & Games,"Baby Einstein Take Along Tunes Musical Toy, Ages 3 months Plus",4.8,24260,8.88,8.88
B084J4MJCK,Amazon Devices,"All-new Echo Dot (4th Gen) Kids Edition | Designed for kids, with parental controls | Panda",4.8,14,59.99,59.99
6304711905,Movies & TV,Tombstone,4.8,19445,3.74,3.74
B07GYN1XTN,Fashion,Hudson Baby Unisex Baby Cotton Long-sleeve Bodysuits,4.7,12849,10.86,10.86
B01N68HI9S,Computers/Accessories,"(3 Pack) Supershieldz for Apple MacBook Pro 13 inch (2020, 2019, 2018, 2017 and 2016 Model)…",4.5,4191,10.99,10.99
B07NF3K74H,Computers/Accessories,"TP-Link AC1900 Smart WiFi Router (Archer A9) - High Speed MU-MIMO Wireless Router, Dual…",4.4,5701,85.7,85.7
B008ALAAV0,Computers/Accessories,Apple 85W MagSafe 2 Power Adapter (for MacBook Pro with Retina display),4.6,2747,59.99,59.99
B08JBMWG2G,Computers/Accessories,"Mac Book Air Charger Replacement, AC 45W T-Tip for for 11 inch and 13 inch After Mid 2012",4.7,994,20.7,20.7
B086Q92563,Computers/Accessories,NEW Microsoft Surface Dock 2,4.6,551,178.43,178.43
B07VTK654B,Amazon Devices,Echo Auto- Hands-free Alexa in your car with your phone,3.8,60463,32.85,32.85
B00004Z4SE,Movies & TV,Rodgers & Hammerstein's Cinderella,4.9,4398,4.99,4.99
B0781Z7V6V,Amazon Devices,Ring Solar Panel Black - Compatible with Ring Spotlight Cam Battery and Stick Up Cam Battery,4.6,9182,49.99,49.99
B07FPP6TB5,Amazon Devices,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,4.6,16311,121.66,121.66
B07V9LPB5K,Fashion,Colorfulkoala Women's High Waisted Yoga Pants 7/8 Length Leggings with Pockets,4.7,13238,25,25
B07CXYV1PW,Fashion,Alimens & Gentle Men's Button Down Regular Fit Long Sleeve Plaid Flannel Casual Shirts,4.5,6021,13.99,13.99
B07KD7K4B1,Amazon Devices,"Fire HD 10 Kids Edition Tablet – 10.1” 1080p full HD display, 32 GB, Blue Kid-Proof Case",4.7,12434,199.99,199.99
B000AGTPUK,Movies & TV,The Polar Express (Widescreen Edition),4.8,23153,6.89,6.89
B07PTSZ43T,Toys & Games,"Paw Patrol, Chase’s Patrol Cruiser Vehicle with Collectible Figure, for Kids Aged 3 and Up",4.8,12052,4.99,4.99
B085878WLK,Toys & Games,"LEGO Super Mario Adventures with Mario Starter Course 71360 Building Kit, Interactive Set…",4.8,2537,59.95,59.95
